featcode,rowindex,type,featconst,name,description,icon,mincharlevel,minattackbonus,minstr,mindex,minint,minwis,minspelllvl,prereqfeat1,prereqfeat2,gainmultiple,effectsstack,allclassescanuse,category,maxcr,spellid,successor,crvalue,usesperday,masterfeat,targetself,orreqfeat0,orreqfeat1,orreqfeat2,orreqfeat3,orreqfeat4,reqskill,toolscategories,hostilefeat,,scd_list,sol_list,sct_list,tec_list,drx_list,drc_list,jcn_list,jgd_list,jsn_list,sas_list,sld_list,sma_list,jwa_list,jma_list,jwm_list,,jcn_pc_granted,jgd_pc_granted,jsn_pc_granted,scd_granted,sol_granted,sct_granted,tec_granted,drx_granted,drc_granted,jcn_granted,jgd_granted,jsn_granted,sas_granted,sld_granted,sma_granted,jwa_granted,jma_granted,jwm_granted,scd_recom,sol_recom,sct_recom,tec_recom,drx_recom,drc_recom,jcn_recom,jgd_recom,jsn_recom,sas_recom,sld_recom,sma_recom,jwa_recom,jma_recom,jwm_recom,handmaiden,baodur,hanharr,hk47,g0t0,atton,kreia,exclusion,usetype,pips
BOXF_DEFLECT_2,1,change,FEAT_DEFLECT_2,148,1126,if_jedidef02,7,****,****,****,****,****,****,55,****,0,0,0,0x1808,6,****,24,****,****,****,1,****,****,****,****,****,****,3,0,,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,****
XXXX_ADVANCED_GUARD_STANCE,2,skip,FEAT_ADVANCED_GUARD_STANCE,149,1127,if_gstance,****,****,****,****,****,****,****,****,****,0,0,1,0x1808,6,****,25,****,****,****,1,****,****,****,****,****,****,3,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,2
BOXF_TWO_WEAPON_1,3,change,FEAT_TWO_WEAPON_1,150,1128,if_2weap01,****,****,****,****,****,****,****,****,****,0,0,1,****,3,****,9,****,****,****,****,****,****,****,****,****,****,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,2
ARMOUR_PROF_HEAVY,4,skip,FEAT_ARMOUR_PROFICIENCY_HEAVY,153,1129,if_armprof03,****,****,****,****,****,****,****,5,6,0,0,1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,255,0x00,****,1
ARMOUR_PROF_LIGHT,5,skip,FEAT_ARMOUR_PROFICIENCY_LIGHT,151,1130,if_armprof01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,6,****,****,****,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,255,0,0,0,0,255,0x00,****,3
ARMOUR_PROF_MEDIUM,6,skip,FEAT_ARMOUR_PROFICIENCY_MEDIUM,152,1131,if_armprof02,****,****,****,****,****,****,****,5,****,0,0,1,****,****,****,4,****,****,****,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,255,0x00,****,1
CAUTIOUS,7,change,FEAT_CAUTIOUS,154,1132,if_cautious01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,117,****,****,****,****,****,****,****,****,****,****,6,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,255,0x00,****,2
BOXF_CRITICAL_STRIKE_1,8,change,FEAT_CRITICAL_STRIKE_1,155,1133,if_crtstrk01,****,****,****,****,****,****,****,****,****,0,0,1,0x1104,3,****,19,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
BOXF_TWO_WEAPON_2,9,change,FEAT_TWO_WEAPON_2,157,1134,If_2weap02,7,****,****,****,****,****,****,3,****,0,0,1,****,6,****,85,****,****,****,****,****,****,****,****,****,****,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,0,1
EMPATHY,10,change,FEAT_EMPATHY,158,1135,if_empathy01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,121,****,****,****,****,****,****,****,****,****,****,6,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,255,0x00,****,2
BOXF_FLURRY_1,11,change,FEAT_FLURRY_1,160,1136,if_flurry01,****,****,****,****,****,****,****,****,****,0,0,1,0x1104,3,****,91,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
GEAR_HEAD,12,change,FEAT_GEAR_HEAD,161,1137,if_gearhead01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,119,****,****,****,****,****,****,****,****,****,****,6,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,0,1
BOXF_CONDITIONING_1,13,change,FEAT_CONDITIONING_1,162,1138,if_fortitude,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,21,****,****,****,****,****,****,****,****,****,****,6,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
XXXX_IMPLANT_LEVEL_1,14,skip,FEAT_IMPLANT_LEVEL_1,164,1139,if_implant01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,15,****,****,****,****,****,****,****,****,****,****,5,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
XXXX_IMPLANT_LEVEL_2,15,skip,FEAT_IMPLANT_LEVEL_2,165,1140,if_implant02,4,****,****,****,****,****,****,14,****,0,0,1,****,****,****,16,****,****,****,****,****,****,****,****,****,****,5,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
XXXX_IMPLANT_LEVEL_3,16,skip,FEAT_IMPLANT_LEVEL_3,166,1141,if_implant03,8,****,****,****,****,****,****,14,15,0,0,1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,5,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,2
BOXF_POWER_ATTACK_2,17,change,FEAT_POWER_ATTACK_2,167,1142,if_pattack02,7,****,****,****,****,****,****,28,****,0,0,1,0x1104,6,****,83,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,3
BOXF_POWER_BLAST_2,18,change,FEAT_POWER_BLAST_2,168,1143,if_pshot02,7,****,****,****,****,****,****,29,****,0,0,1,0x1111,6,****,82,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,0,2
BOXF_CRITICAL_STRIKE_2,19,change,FEAT_CRITICAL_STRIKE_2,169,1144,if_crtstrk02,7,****,****,****,****,****,****,8,****,0,0,1,0x1104,6,****,81,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,1,2
BOXF_SNIPER_SHOT_2,20,change,FEAT_SNIPER_SHOT_2,170,1145,if_sshot02,7,****,****,****,****,****,****,31,****,0,0,1,0x1111,6,****,77,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,0,2
BOXF_CONDITIONING_2,21,change,FEAT_CONDITIONING_2,171,1146,if_ironwill,7,****,****,****,****,****,****,13,****,0,0,1,****,****,****,22,****,****,****,****,****,****,****,****,****,****,6,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,1,2
BOXF_CONDITIONING_3,22,change,FEAT_CONDITIONING_3,172,1147,if_lreflexes,13,****,****,****,****,****,****,13,21,0,0,1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,6,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
****,23,skip,****,****,****,****,****,****,****,****,****,****,****,0,****,0,0,1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
BOXF_DEFLECT_3,24,change,FEAT_DEFLECT_3,174,1148,if_jedidef03,13,****,****,****,****,****,****,55,1,0,0,0,0x1808,9,****,****,****,****,****,1,****,****,****,****,****,****,3,0,,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,****
XXXX_MASTER_GUARD_STANCE,25,skip,FEAT_MASTER_GUARD_STANCE,175,1149,if_gstance,****,****,****,****,****,****,****,****,****,0,0,1,0x1808,9,****,****,****,****,****,1,****,****,****,****,****,****,3,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,3
BOXF_RAPID_SHOT_3,26,change,FEAT_RAPID_SHOT_3,176,1150,if_rshot03,13,****,****,****,****,****,****,30,92,0,0,1,0x1111,9,****,****,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,3
XXXX_PERCEPTIVE,27,skip,FEAT_PERCEPTIVE,177,1151,if_percept,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,6,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,1,3
BOXF_POWER_ATTACK_1,28,change,FEAT_POWER_ATTACK_1,178,1152,if_pattack01,****,****,****,****,****,****,****,****,****,0,0,1,0x1104,3,****,17,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,1
BOXF_POWER_BLAST_2,29,change,FEAT_POWER_BLAST_2,179,1153,if_pshot01,****,****,****,****,****,****,****,****,****,0,0,1,0x1111,3,****,18,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,0,1
BOXF_RAPID_SHOT_1,30,change,FEAT_RAPID_SHOT_1,180,1154,if_rshot01,****,****,****,****,****,****,****,****,****,0,0,1,0x1111,6,****,92,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,1,1
BOXF_SNIPER_SHOT_1,31,change,FEAT_SNIPER_SHOT_1,181,1155,if_sshot01,****,****,****,****,****,****,****,****,****,0,0,1,0x1111,3,****,20,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,1,1
WEAPON_FOCUS_BLASTER,32,skip,FEAT_WEAPON_FOCUS_BLASTER,182,1156,if_weapfoc01,****,****,****,****,****,****,****,39,****,0,0,1,****,****,****,46,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,1,1
WEAPON_FOCUS_BLASTER_RIFLE,33,skip,FEAT_WEAPON_FOCUS_BLASTER_RIFLE,183,1157,if_weapfoc02,****,****,****,****,****,****,****,40,****,0,0,1,****,****,****,47,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,0,0,0,0,0,0,0x00,****,2
